"Player";"Position";"Team"
"Makase, Michael";"OB";"KIN"
"Davids, Ashlon";"FH";"LIO"
"Reynolds, Shaun";"FH";"LIO"
"Front Row, Lions";"FR";"LIO"
"Schroeder, Ricky";"HB";"LIO"
"Jansen Van Vuuren, Marco";"HB";"LIO"
"Lusaseni, Luvuyiso";"L";"LIO"
"Sekekete, Victor";"L";"LIO"
"du Preez, JP";"L";"LIO"
"de Wee, Bobby";"L";"LIO"
"Lerm, Ruan";"LF";"LIO"
"Venter, Jano";"LF";"LIO"
"Samuels, Ramone";"LF";"LIO"
"van der Walt, Gerdus";"M";"LIO"
"Mastriet, Sampie";"OB";"LIO"
"Gavor, Selom";"OB";"LIO"
"Front Row, Rebels";"FR";"REB"
"Day, Dominic";"L";"REB"
"Toolis, Alex";"L";"REB"
"Mafi, Amanaki";"LF";"REB"
"Fox, Harley";"LF";"REB"
"Tuipulotu, Sione";"M";"REB"
"Maddocks, Jack";"OB";"REB"
"Fou, Pama";"OB";"REB"
"Front Row, Reds";"FR";"RED"
"Tui, Lukhan";"L";"RED"
"Korczyk, Adam";"LF";"RED"
"Perese, Izaia";"M";"RED"
"Front Row, Sharks";"FR";"SHA"
"Oosthuizen, Etienne";"L";"SHA"
"Kleinhans, Francois";"LF";"SHA"
"Majola, Khaya";"LF";"SHA"
"Vermeulen, Jacques";"LF";"SHA"
"Deysel, Johan";"M";"SHA"
"Front Row, Stormers";"FR";"STO"
"Masimla, Godlen";"HB";"STO"
"Phillips, Justin";"HB";"STO"
"Van Zyl, Chris";"L";"STO"
"Ribbans, David";"L";"STO"
"van Vuuren, Jurie";"LF";"STO"
"Van Dyk, Kobus";"LF";"STO"
"Oosthuizen, Ryan";"M";"STO"
"Viljoen, EW";"OB";"STO"
"Front Row, Sunwolves";"FR";"SUN"
"Deegan, Andrew";"FH";"WAR"
"Mason, Mack";"FH";"WAR"
"Front Row, Waratahs";"FR";"WAR"
"Gordon, Jake";"HB";"WAR"
"Toleafoa, Senio";"L";"WAR"
"McCauley, Ryan";"L";"WAR"
"Wilkin, Brad";"LF";"WAR"
"Clark, Cameron";"OB";"WAR"
"Jones, Harry";"OB";"WAR"
"Makabe, Shinya";"L";"SUN"
"Sithole, Sibusiso";"OB";"SHA"
"Smiler, Jordan";"LF";"BRU"
"Fukofuka, Leon";"HB";"CRU"
"Koster, Armandt";"L";"CHE"
"Hugo, Reniel";"L";"CHE"
"Hunt, Mitch";"OB";"CRU"
"Black, Otere";"FH";"HUR"
"de Wit, Stephan";"LF";"LIO"
"Ono, Hitoshi";"L";"SUN"
"Manjezi, Sintu";"LF";"KIN"
"Burton, Luke";"FH";"FOR"
"Hess, Cornell";"L";"KIN"
"Larrague, Ignacio";"L";"JAG"
"de Klerk, Jan";"L";"STO"
"Cruz Guillemain, Juan";"L";"JAG"
"Britz, Willie";"LF";"SUN"
"Perofeta, Stephen";"FH";"BLU"
"Nansen, Brandon";"L";"BLU"
"Goodhue, Joshua";"L";"BLU"
"Taramai, Murphy";"LF";"BLU"
"Collins, Michael";"M";"BLU"
"Faiane, Tinoai";"M";"BLU"
"O'Donnell, Declan";"OB";"BLU"
"Lonergan, Ryan";"HB";"BRU"
"Valetini, Robert";"L";"BRU"
"Cusack, Thomas";"LF";"BRU"
"Papier, Embrose";"HB";"BUL"
"Potgieter, Jaques";"LF";"BUL"
"Adendorff, Shaun";"LF";"BUL"
"Steenkamp, Ruan";"LF";"BUL"
"Beyers, Ulrich";"M";"BUL"
"Libbok, Manie";"OB";"BUL"
"Rossouw, Divan";"OB";"BUL"
"Swart, Clinton";"FH";"CHE"
"Smith, JP";"HB";"CHE"
"Visser, Dennis";"L";"CHE"
"Basson, Justin";"L";"CHE"
"Wiese, Jasper";"LF";"CHE"
"Vidima, Ntokozo";"LF";"CHE"
"Rampeta, Refuoe";"LF";"CHE"
"Meiring, Steve";"LF";"CHE"
"Mafuma, Mosolwa";"OB";"CHE"
"Christie, Finlay";"HB";"CHI"
"Faauli, Jonathan";"M";"CHI"
"Alaimalo, Solomona";"OB";"CHI"
"Strange, Quinten";"L";"CRU"
"Bedwell-Curtis, Heiden";"LF";"CRU"
"Bateman, Tim";"M";"CRU"
"Mataele, Manasa";"OB";"CRU"
"Ruru, Michael";"HB";"FOR"
"Peni, Chance";"M";"FOR"
"Rona, Curtis";"OB";"FOR"
"Dickson, Josh";"L";"HIG"
"O'Donnell, Kylem";"HB";"HUR"
"Halafihi, Toa";"LF";"HUR"
"Umaga-Jensen, Peter";"M";"HUR"
"Maritz, Neil";"M";"KIN"
"McGregor, Jack";"FH";"REB"
"Tupai, Ikapote";"LF";"REB"
"Tuimalealiifano, Ah-Mu";"OB";"REB"
"Sorovi, Moses";"HB";"RED"
"Rodda, Izack";"L";"RED"
"Hewat, Reece";"LF";"RED"
"Ngamanu, Jayden";"OB";"RED"
"Maranta, Lachlan";"OB";"RED"
"Ward, Jeremy";"M";"SHA"
"Cripps, Hayden";"FH";"SUN"
"Lafaele, Timothy";"FH";"SUN"
"Tamura, Hikaru";"FH";"SUN"
"Tanaka, Fumiaki";"HB";"SUN"
"Uchida, Keisuke";"HB";"SUN"
"Ogawa, Takahiro";"HB";"SUN"
"Kajikawa, Kyosuke";"L";"SUN"
"Helu, Uwe";"L";"SUN"
"Tokunaga, Yoshitaka";"LF";"SUN"
"Ilaua, Malgene";"LF";"SUN"
"Matsuhashi, Shuhei";"LF";"SUN"
"Mimura, Yuhimaru";"LF";"SUN"
"Goto, Teruya";"OB";"SUN"
"Fukuoka, Kenki";"OB";"SUN"
"Matsushima, Kotaro";"OB";"SUN"
"Simone, Irae";"M";"WAR"
"Cronje, Lionel";"FH";"KIN"
"Macome, Benjamin";"LF";"JAG"
"Portillo, Santiago";"LF";"JAG"
"de Bruin, Christiaan";"LF";"KIN"
"Badiyana, Lusanda";"LF";"KIN"
"Dubase, Onke";"LF";"KIN"
"Jacobs, Wiehan";"LF";"LIO"
"du Toit, Johan";"LF";"STO"
"Augustus, Juarno";"LF";"STO"
"Coetzee, Jaco";"LF";"STO"
"Xoli, Liheli";"M";"CHE"
"Newsome, Alex";"M";"FOR"
"Alvarez, Santiago";"M";"JAG"
"Ezcurra, Bautista";"M";"JAG"
"Klaasen, Berton";"M";"KIN"
"Murray, Waylon";"M";"KIN"
"Sage, Jarryd";"M";"LIO"
"Van Wyk, Jacobus";"M";"SHA"
"Louw, Marius";"M";"SHA"
"Blewett, Tristan";"M";"SHA"
"Kriel, Dan";"M";"STO"
"Bond, Michael";"M";"SUN"
"Tupou, Will";"M";"SUN"
"Smith, Kwagga";"LF";"LIO"
"Nunomaki, Shunsuke";"LF";"SUN"
"Dukisa, Ntabeni";"FH";"KIN"
"de Wet, Pieter-Steyn";"FH";"KIN"
"Mattheus, Garrick";"FH";"KIN"
"Banda, Masixole";"FH";"KIN"
"Volavola, Ben";"FH";"REB"
"Janse van Rensburg, Benhard";"FH";"SHA"
"Willemse, Damian";"FH";"STO"
"Botha, Chrysander";"OB";"KIN"
"Marais, SP";"OB";"STO"
"Ngcukana, Khano";"OB";"STO"
"Herbst, Irne";"L";"KIN"
"Lindsay, Cameron";"L";"KIN"
"Zito, Mzwanele";"L";"KIN"
"Putuma, Wandile";"L";"KIN"
"Orie, Marvin";"L";"LIO"
"Mostert, Franco";"L";"LIO"
"Droste, Jean";"L";"SHA"
"Usami, Kazuhiko";"L";"SUN"
"Kotaki, Naohiro";"L";"SUN"
"Wykes, Sam";"L";"SUN"
"Pokomela, Junior";"LF";"CHE"
"Warren-Vosayaco, Rahboni";"LF";"SUN"
