"Player";"Position";"Team"
"Lewis, Dion";"RB";"NWE"
"Lewis, Lance";"WR";"NOR"
"Lewis, Marcedes";"TE";"JAC"
"Lewis, Thad";"QB";"CLE"
"Line, Zach";"RB";"MIN"
"Little, Greg";"WR";"CIN"
"Lobato, Seth";"QB";"TAM"
"Lockett, Colin";"WR";"WAS"
"Lockett, Tyler";"WR";"SEA"
"Lockette, Ricardo";"WR";"SEA"
"Long, Deon";"WR";"TEN"
"Long, Ty";"K";"WAS"
"Lorig, Erik";"RB";"NOR"
"Lovelocke, Jerry";"QB";"BAL"
"Lucas, Marcus";"WR";"CAR"
"Luck, Andrew";"QB";"IND"
"Luckett, Donatella";"WR";"K.C"
"Lundy, Luke";"RB";"CLE"
"Lutman, Gavin";"WR";"MIN"
"Lynch, Arthur";"TE";"MIA"
"Lynch, Marshawn";"RB";"SEA"
"Maclin, Jeremy";"WR";"K.C"
"Maehl, Jeff";"WR";"PHI"
"Magee, Terrence";"RB";"BAL"
"Mahina, Devin";"TE";"WAS"
"Mallett, Ryan";"QB";"HOU"
"Maneri, Steve";"TE";"NYJ"
"Manhertz, Chris";"TE";"BUF"
"Manning, Eli";"QB";"NYG"
"Manning, Peyton";"QB";"DEN"
"Mannion, Sean";"QB";"STL"
"Manton, Justin";"K";"BAL"
"Manuel, EJ";"QB";"BUF"
"Manziel, Johnny";"QB";"CLE"
"Mariani, Marc";"WR";"CHI"
"Mariota, Marcus";"QB";"TEN"
"Marquez, Bradley";"WR";"STL"
"Marshall, Brandon";"WR";"NYJ"
"Martin, Desmond";"RB";"DET"
"Martin, Doug";"RB";"TAM"
"Martin, Keshawn";"WR";"HOU"
"Martino, Freddie";"WR";"ATL"
"Mason, Tre";"RB";"STL"
"Mathews, Ryan";"RB";"PHI"
"Matthews, Chris";"WR";"SEA"
"Matthews, Jordan";"WR";"PHI"
"Matthews, Rishard";"WR";"MIA"
"Mayle, Vince";"WR";"CLE"
"McBride, Tre";"WR";"TEN"
"McCarron, AJ";"QB";"CIN"
"McCluster, Dexter";"RB";"TEN"
"McCown, Josh";"QB";"CLE"
"McCown, Luke";"QB";"NOR"
"McCoy, Anthony";"TE";"SEA"
"McCoy, Colt";"QB";"WAS"
"McCoy, LeSean";"RB";"BUF"
"McDonald, Tyler";"WR";"MIA"
