"Player";"Position";"Team"
"Lauvao, Shawn";"OL";"CLE"
"Lawrence, Matt";"RB";"BAL"
"Lawrence, Quinten";"DB";"K.C"
"Lawson, Manny";"LB";"CIN"
"LeFevour, Dan";"QB";"JAC"
"LeGree, Mark";"DB";"NYJ"
"Leach, Vonta";"RB";"BAL"
"Lee, Boris";"LB";"JAC"
"Lee, Donald";"TE";"CIN"
"Lefeged, Joe";"DB";"IND"
"Leftwich, Byron";"QB";"PIT"
"Legursky, Doug";"OL";"PIT"
"Leinart, Matt";"QB";"HOU"
"Leonard, Brian";"RB";"CIN"
"Leonhard, Jim";"DB";"NYJ"
"Levitre, Andy";"OL";"BUF"
"Lewis, Keenan";"DB";"PIT"
"Lewis, Kendrick";"DB";"K.C"
"Lewis, Marcedes";"TE";"JAC"
"Lewis, Ray";"LB";"BAL"
"Lewis, Thaddeus";"QB";"CLE"
"Light, Matt";"OL";"NWE"
"Lilja, Ryan";"OL";"K.C"
"Lindell, Rian";"K";"BUF"
"Linkenbach, Jeffrey";"OL";"IND"
"Little, Greg";"WR";"CLE"
"Liuget, Corey";"DL";"SDG"
"Livas, Phillip";"WR";"BAL"
"Livings, Nate";"OL";"CIN"
"Locker, Jake";"QB";"TEN"
"Lockett, Bret";"DB";"NWE"
"Long, Gabe";"DL";"HOU"
"Long, Jake";"OL";"MIA"
"Losman, J.P.";"QB";"MIA"
"Love, Jamar";"DB";"TEN"
"Love, Kyle";"DL";"NWE"
"Lowery, Dwight";"DB";"JAC"
"Lutrus, Scott";"LB";"IND"
"Mace, Corey";"DL";"BUF"
"Mack, Alex";"OL";"CLE"
"Madison, Anthony";"DB";"PIT"
"Maehl, Jeff";"WR";"HOU"
"Mahaffey, Ryan";"RB";"IND"
"Maiava, Kaluka";"LB";"CLE"
"Malast, Kevin";"LB";"TEN"
"Malecki, John";"OL";"PIT"
"Mallett, Ryan";"QB";"NWE"
"Maneri, Steve";"OL";"K.C"
"Mangold, Nick";"OL";"NYJ"
"Mankins, Logan";"OL";"NWE"
"Manning, Danieal";"DB";"HOU"
"Manning, Peyton";"QB";"IND"
"Marecic, Owen";"RB";"CLE"
"Mariani, Marc";"WR";"TEN"
"Marks, Sen'Derrick";"DL";"TEN"
"Markshausen, Zeke";"WR";"K.C"
"Marshall, Brandon";"WR";"MIA"
"Marten, James";"OL";"MIA"
"Martin, Ruvell";"WR";"BUF"
"Martin, Vaughn";"DL";"SDG"
"Massaquoi, Mohamed";"WR";"CLE"
"Mastrud, Jeron";"TE";"MIA"
"Mathews, Ricardo";"DL";"IND"
"Mathews, Ryan";"RB";"SDG"
"Mathis, Rashean";"DB";"JAC"
"Mathis, Robert";"DL";"IND"
"Matthews, Kevin";"OL";"TEN"
"Maualuga, Rey";"LB";"CIN"
"Mauga, Josh";"LB";"NYJ"
"Maybin, Aaron";"DL";"NYJ"
"Mayo, Jerod";"LB";"NWE"
"Mays, Joe";"LB";"DEN"
"Mays, Taylor";"DB";"CIN"
"McAdoo, Mike";"LB";"BAL"
"McBath, Darcel";"DB";"JAC"
"McBean, Ryan";"DL";"DEN"
"McBride, Trumaine";"DB";"JAC"
"McCain, Brice";"DB";"HOU"
"McCann, Bryan";"DB";"OAK"
"McCarthy, Colin";"LB";"TEN"
"McClain, Jameel";"LB";"BAL"
"McClain, Le'Ron";"RB";"K.C"
"McClain, Rolando";"LB";"OAK"
"McClellan, Albert";"LB";"BAL"
"McCluskey, James";"RB";"OAK"
"McCluster, Dexter";"RB";"K.C"
"McCourty, Devin";"DB";"NWE"
"McCourty, Jason";"DB";"TEN"
"McCown, Luke";"QB";"JAC"
"McCoy, Colt";"QB";"CLE"
"McCoy, Jamie";"TE";"PIT"
"McDaniel, Tony";"DL";"MIA"
"McDonald, Nick";"OL";"NWE"
"McElroy, Greg";"QB";"NYJ"
"McFadden, Bryant";"DB";"PIT"
"McFadden, Darren";"RB";"OAK"
"McGahee, Willis";"RB";"DEN"
"McGee, Eddie";"WR";"OAK"
"McGee, Terrence";"DB";"BUF"
"McGlynn, Mike";"OL";"CIN"
"McGraw, Jon";"DB";"K.C"
"McIntyre, Corey";"RB";"BUF"
"McIntyre, Garrett";"LB";"NYJ"
